,A UN Equity,AAPL UW Equity,ABBV UN Equity,ABNB UW Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APO UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity,AXON UW Equity,AXP UN Equity,AZO UN Equity,BA UN Equity,BAC UN Equity,BALL UN Equity,BAX UN Equity,BBY UN Equity,BDX UN Equity,BEN UN Equity,BF/B UN Equity,BG UN Equity,BIIB UW Equity,BK UN Equity,BKNG UW Equity,BKR UW Equity,BLDR UN Equity,BLK UN Equity,BMY UN Equity,BR UN Equity,BRK/B UN Equity,BRO UN Equity,BSX UN Equity,BWA UN Equity,BX UN Equity,BXP UN Equity,C UN Equity,CAG UN Equity,CAH UN Equity,CARR UN Equity,CAT UN Equity,CB UN Equity,CBOE UF Equity,CBRE UN Equity,CCI UN Equity,CCL UN Equity,CDNS UW Equity,CDW UW Equity,CE UN Equity,CEG UW Equity,CF UN Equity,CFG UN Equity,CHD UN Equity,CHRW UW Equity,CHTR UW Equity,CI UN Equity,CINF UW Equity,CL UN Equity,CLX UN Equity,CMCSA UW Equity,CME UW Equity,CMG UN Equity,CMI UN Equity,CMS UN Equity,CNC UN Equity,CNP UN Equity,COF UN Equity,COO UW Equity,COP UN Equity,COR UN Equity,COST UW Equity,CPAY UN Equity,CPB UW Equity,CPRT UW Equity,CPT UN Equity,CRL UN Equity,CRM UN Equity,CRWD UW Equity,CSCO UW Equity,CSGP UW Equity,CSX UW Equity,CTAS UW Equity,CTRA UN Equity,CTSH UW Equity,CTVA UN Equity,CVS UN Equity,CVX UN Equity,CZR UW Equity,D UN Equity,DAL UN Equity,DAY UN Equity,DD UN Equity,DE UN Equity,DECK UN Equity,DELL UN Equity,DFS UN Equity,DG UN Equity,DGX UN Equity,DHI UN Equity,DHR UN Equity,DIS UN Equity,DLR UN Equity,DLTR UW Equity,DOC UN Equity,DOV UN Equity,DOW UN Equity,DPZ UW Equity,DRI UN Equity,DTE UN Equity,DUK UN Equity,DVA UN Equity,DVN UN Equity,DXCM UW Equity,EA UW Equity,EBAY UW Equity,ECL UN Equity,ED UN Equity,EFX UN Equity,EG UN Equity,EIX UN Equity,EL UN Equity,ELV UN Equity,EMN UN Equity,EMR UN Equity,ENPH UQ Equity,EOG UN Equity,EPAM UN Equity,EQIX UW Equity,EQR UN Equity,EQT UN Equity,ERIE UW Equity,ES UN Equity,ESS UN Equity,ETN UN Equity,ETR UN Equity,EVRG UW Equity,EW UN Equity,EXC UW Equity,EXPD UN Equity,EXPE UW Equity,EXR UN Equity,F UN Equity,FANG UW Equity,FAST UW Equity,FCX UN Equity,FDS UN Equity,FDX UN Equity,FE UN Equity,FFIV UW Equity,FI UN Equity,FICO UN Equity,FIS UN Equity,FITB UW Equity,FMC UN Equity,FOX UW Equity,FOXA UW Equity,FRT UN Equity,FSLR UW Equity,FTNT UW Equity,FTV UN Equity,GD UN Equity,GDDY UN Equity,GE UN Equity,GEHC UW Equity,GEN UW Equity,GEV UN Equity,GILD UW Equity,GIS UN Equity,GL UN Equity,GLW UN Equity,GM UN Equity,GNRC UN Equity,GOOG UW Equity,GOOGL UW Equity,GPC UN Equity,GPN UN Equity,GRMN UN Equity,GS UN Equity,GWW UN Equity,HAL UN Equity,HAS UW Equity,HBAN UW Equity,HCA UN Equity,HD UN Equity,HES UN Equity,HIG UN Equity,HII UN Equity,HLT UN Equity,HOLX UW Equity,HON UW Equity,HPE UN Equity,HPQ UN Equity,HRL UN Equity,HSIC UW Equity,HST UW Equity,HSY UN Equity,HUBB UN Equity,HUM UN Equity,HWM UN Equity,IBM UN Equity,ICE UN Equity,IDXX UW Equity,IEX UN Equity,IFF UN Equity,INCY UW Equity,INTC UW Equity,INTU UW Equity,INVH UN Equity,IP UN Equity,IPG UN Equity,IQV UN Equity,IR UN Equity,IRM UN Equity,ISRG UW Equity,IT UN Equity,ITW UN Equity,IVZ UN Equity,J UN Equity,JBHT UW Equity,JBL UN Equity,JCI UN Equity,JKHY UW Equity,JNJ UN Equity,JNPR UN Equity,JPM UN Equity,K UN Equity,KDP UW Equity,KEY UN Equity,KEYS UN Equity,KHC UW Equity,KIM UN Equity,KKR UN Equity,KLAC UW Equity,KMB UN Equity,KMI UN Equity,KMX UN Equity,KO UN Equity,KR UN Equity,KVUE UN Equity,L UN Equity,LDOS UN Equity,LEN UN Equity,LH UN Equity,LHX UN Equity,LII UN Equity,LIN UW Equity,LKQ UW Equity,LLY UN Equity,LMT UN Equity,LNT UW Equity,LOW UN Equity,LRCX UW Equity,LULU UW Equity,LUV UN Equity,LVS UN Equity,LW UN Equity,LYB UN Equity,LYV UN Equity,MA UN Equity,MAA UN Equity,MAR UW Equity,MAS UN Equity,MCD UN Equity,MCHP UW Equity,MCK UN Equity,MCO UN Equity,MDLZ UW Equity,MDT UN Equity,MET UN Equity,META UW Equity,MGM UN Equity,MHK UN Equity,MKC UN Equity,MKTX UW Equity,MLM UN Equity,MMC UN Equity,MMM UN Equity,MNST UW Equity,MO UN Equity,MOH UN Equity,MOS UN Equity,MPC UN Equity,MPWR UW Equity,MRK UN Equity,MRNA UW Equity,MS UN Equity,MSCI UN Equity,MSFT UW Equity,MSI UN Equity,MTB UN Equity,MTCH UW Equity,MTD UN Equity,MU UW Equity,NCLH UN Equity,NDAQ UW Equity,NDSN UW Equity,NEE UN Equity,NEM UN Equity,NFLX UW Equity,NI UN Equity,NKE UN Equity,NOC UN Equity,NOW UN Equity,NRG UN Equity,NSC UN Equity,NTAP UW Equity,NTRS UW Equity,NUE UN Equity,NVDA UW Equity,NVR UN Equity,NWS UW Equity,NWSA UW Equity,NXPI UW Equity,O UN Equity,ODFL UW Equity,OKE UN Equity,OMC UN Equity,ON UW Equity,ORCL UN Equity,ORLY UW Equity,OTIS UN Equity,OXY UN Equity,PANW UW Equity,PARA UW Equity,PAYC UN Equity,PAYX UW Equity,PCAR UW Equity,PCG UN Equity,PEG UN Equity,PEP UW Equity,PFE UN Equity,PFG UW Equity,PG UN Equity,PGR UN Equity,PH UN Equity,PHM UN Equity,PKG UN Equity,PLD UN Equity,PLTR UW Equity,PM UN Equity,PNC UN Equity,PNR UN Equity,PNW UN Equity,PODD UW Equity,POOL UW Equity,PPG UN Equity,PPL UN Equity,PRU UN Equity,PSA UN Equity,PSX UN Equity,PTC UW Equity,PWR UN Equity,PYPL UW Equity,QCOM UW Equity,RCL UN Equity,REG UW Equity,REGN UW Equity,RF UN Equity,RJF UN Equity,RL UN Equity,RMD UN Equity,ROK UN Equity,ROL UN Equity,ROP UW Equity,ROST UW Equity,RSG UN Equity,RTX UN Equity,RVTY UN Equity,SBAC UW Equity,SBUX UW Equity,SCHW UN Equity,SHW UN Equity,SJM UN Equity,SLB UN Equity,SMCI UW Equity,SNA UN Equity,SNPS UW Equity,SO UN Equity,SOLV UN Equity,SPG UN Equity,SPGI UN Equity,SRE UN Equity,STE UN Equity,STLD UW Equity,STT UN Equity,STX UW Equity,STZ UN Equity,SW UN Equity,SWK UN Equity,SWKS UW Equity,SYF UN Equity,SYK UN Equity,SYY UN Equity,T UN Equity,TAP UN Equity,TDG UN Equity,TDY UN Equity,TECH UW Equity,TEL UN Equity,TER UW Equity,TFC UN Equity,TFX UN Equity,TGT UN Equity,TJX UN Equity,TMO UN Equity,TMUS UW Equity,TPL UN Equity,TPR UN Equity,TRGP UN Equity,TRMB UW Equity,TROW UW Equity,TRV UN Equity,TSCO UW Equity,TSLA UW Equity,TSN UN Equity,TT UN Equity,TTWO UW Equity,TXN UW Equity,TXT UN Equity,TYL UN Equity,UAL UW Equity,UBER UN Equity,UDR UN Equity,UHS UN Equity,ULTA UW Equity,UNH UN Equity,UNP UN Equity,UPS UN Equity,URI UN Equity,USB UN Equity,V UN Equity,VICI UN Equity,VLO UN Equity,VLTO UN Equity,VMC UN Equity,VRSK UW Equity,VRSN UW Equity,VRTX UW Equity,VST UN Equity,VTR UN Equity,VTRS UW Equity,VZ UN Equity,WAB UN Equity,WAT UN Equity,WBA UW Equity,WBD UW Equity,WDAY UW Equity,WDC UW Equity,WEC UN Equity,WELL UN Equity,WFC UN Equity,WM UN Equity,WMB UN Equity,WMT UN Equity,WRB UN Equity,WST UN Equity,WTW UW Equity,WY UN Equity,WYNN UW Equity,XEL UW Equity,XOM UN Equity,XYL UN Equity,YUM UN Equity,ZBH UN Equity,ZBRA UW Equity,ZTS UN Equity,APP UW Equity,ARM UW Equity,ASML UW Equity,AZN UW Equity,CCEP UW Equity,DASH UW Equity,DDOG UW Equity,GFS UW Equity,MDB UQ Equity,MELI UW Equity,MRVL UW Equity,MSTR UW Equity,PDD UW Equity,TEAM UW Equity,TTD UQ Equity,ZS UW Equity
,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
2023-01-03,150.04,125.07,162.38,84.9,109.58,62.46,270.26,336.92,162.45,89.65,237.66,185.15,88.49,94.87,28.11,71.58,62.93,127.32,187.26,84.97,214.5,212.28,136.66,107.7,96.73,11.92,64.02,140.52,261.65,310.66,214.67,85.82,30.2275,238.64,299.42,58.92,43.62,306.57,38.2,62.81,92.95,144.11,111.2,161.5,55.348,183.21,154.1,168.24,147.12,2431.06,195.39,33.51,51.97,51.04,80.41,256.18,27.12,64.99,95.57,272.63,46.3,2032.21,28.75,65.35,712.04,72.26,134.56,309.91,56.65,46.01,35.4218,76.13,66.62,45.78,38.83,76.73,41.61,238.88,220.77,126.33,78.44,138.31,7.97,159.64,179.51,102.27,81.91,81.95,39.53,82.02,90.28,341.58,321.48,104.01,79.13,142.26,35.57,168.95,27.423,241.04,63.73,79.74,29.56,92.97,,113.12,164.29,453.28,183.19,,30.73,110.68,218.4,134.78,103.28,47.94,77.65,30.88,112.248,23.21,57.59,58.93,92.91,173.99,42.26,62.97,32.61,61.57,68.86,424.29,64.8717,40.9,96.99,246.72,155.77,90.68,232.4735,88.97,102.83,140.26,25.44,135.07,51.04,,139.96,117.86,103.7,74.84,58.12,114.73,122.8,42.15,147.21,95.76,198.31,333.38,64.28,253.91,502.2,82.13,96.11,253.31,124.45,331.42,662.51,58.84,31.82,244.45,84.22,211.31,157.75,54.565,62.93,74.27,43.16,105.01,87.68,144.29,11.68,131.38,47.4,37.92,405.96,177.27,42.03,144.85,101.16,591.19,68.54,32.64,124.92,28.34,30.27,102.66,145.94,48.52,64.27,248.6,74.26,52.887,56.0,21.62,,85.39,83.22,119.59,32.54,33.82,97.71,89.7,89.12,169.81,100.2,93.57,346.22,555.93,37.66,61.95,14.1,243.21,315.91,134.52,75.35,228.35,125.03,75.55,214.3,16.06,26.75,45.75,79.6,15.93,226.93,234.49,500.49,39.06,141.55,103.23,406.01,229.49,105.64,79.55,26.73,391.18,29.26,35.41,33.79,203.86,53.0,49.67,265.63,337.49,220.32,18.22,101.2713,172.6,67.18,64.74,176.1,178.19,32.53,135.12,66.8748,35.55,17.61,170.94,40.78,21.24,46.68,376.55,137.11,18.01,60.64,62.95,44.47,,58.59,104.71,91.98,204.2704,206.93,241.32,,53.86,364.99,477.53,55.37,199.04,41.43,323.38,32.6,49.33,87.25,83.99,68.86,346.8,155.42,147.75,47.42,264.33,69.1,374.33,276.47,66.25,78.26,72.15,124.74,33.28,106.86,83.47,284.87,338.19,165.98,102.394,50.66,45.52,318.92,42.63,110.92,342.95,111.14,178.99,85.72,461.16,239.58,257.4,144.97,41.06,1461.87,50.37,11.86,61.76,238.03,83.83,49.58,294.95,27.44,118.75,540.33,385.5,31.93,247.7,60.79,89.78,131.06,14.315,4589.32,18.49,18.3,155.05,63.8,141.26,63.94,82.53,61.61,83.72,840.72,79.12,61.05,69.225,17.07,304.63,115.81,65.62,15.68,62.05,179.41,51.26,83.77,151.57,130.14,291.76,46.2,129.06,112.69,,101.3,159.52,45.2,74.63,286.38,300.83,126.84,29.2,99.48,274.18,101.03,119.65,140.61,74.58,107.2,48.71,62.83,720.47,21.47,106.11,109.11,209.11,261.42,36.55,,115.83,128.68,100.81,141.14,281.74,100.83,81.94,239.37,158.99,51.5,8.386,229.38,319.68,71.9,,117.54,335.17,76.855,185.58,95.17,78.4,51.88,227.6,,76.19,90.5,32.39,246.03,75.99,18.74,49.44,625.77,400.77,82.53,114.66,85.93,43.63,249.85,151.73,79.01,553.18,139.04,700.87,38.83,70.65,50.6,109.15,187.12,44.636,108.1,63.6,171.53,103.11,163.21,70.26,319.33,37.21,25.36,38.59,142.61,471.63,518.64,207.58,175.28,356.71,44.64,207.39,31.75,120.04,,176.1,177.34,201.92,286.02,22.27,45.37,11.38,40.12,99.76,345.59,37.19,9.54,169.35,31.41,94.16,66.95,41.79,157.03,32.15,47.8667,48.3867,234.41,245.18,30.86,85.61,70.07,106.51,110.76,126.96,127.28,260.2,146.85,10.73,,549.57,69.33,54.36,,72.09,51.7,190.75,826.11,35.99,14.502,84.53,126.5,44.02,110.19
2023-01-04,151.67,126.36,163.69,88.72,111.21,62.77,269.34,341.41,165.91,86.39,238.78,187.96,88.96,95.52,27.28,71.92,63.86,129.09,189.74,85.86,223.57,224.63,138.96,109.24,99.31,12.03,64.66,140.85,264.39,312.88,219.0,85.14,28.46,242.94,302.72,60.66,42.15,306.59,38.765,64.36,95.88,146.89,111.94,164.32,56.024,186.79,157.17,168.76,150.54,2445.46,203.64,34.14,52.49,52.33,81.94,258.09,27.83,65.53,95.0,270.81,47.44,2110.44,27.89,66.67,721.9,72.62,136.67,314.55,57.6,46.5,36.6004,78.01,66.71,46.96,38.65,77.0,42.03,241.36,224.4,124.47,79.72,143.35,8.74,159.23,181.15,109.15,83.41,82.41,40.65,82.79,90.8,354.0,310.3,106.35,79.64,143.72,36.59,170.08,27.521,240.46,64.63,79.46,29.65,95.8,,113.34,162.87,456.56,184.68,,30.99,112.75,221.93,139.59,104.365,47.55,78.0,31.28,110.958,23.98,58.06,59.69,91.98,172.14,45.39,63.21,34.39,63.06,70.53,423.48,64.99,40.94,101.27,243.5,154.58,91.64,236.1077,91.98,103.65,140.52,26.39,136.17,52.33,,143.03,119.56,104.81,77.15,58.9,114.33,125.01,43.09,149.76,96.59,204.61,341.09,66.39,261.91,485.44,86.02,95.42,251.64,124.36,335.22,680.15,59.85,33.21,242.23,85.33,215.25,158.82,54.605,63.89,76.47,43.73,106.13,90.99,144.47,12.01,130.62,47.97,39.0,407.79,181.45,42.34,145.28,102.045,609.04,69.27,33.46,122.94,29.37,31.28,105.06,146.78,48.3,65.22,245.22,74.86,55.9867,60.49,21.87,,85.5,83.89,120.01,34.11,34.69,101.92,88.71,88.08,171.94,103.48,95.54,347.7,554.03,38.43,62.11,14.36,248.88,319.73,136.57,76.82,228.16,127.84,78.23,210.04,16.42,27.22,45.89,82.39,16.17,223.27,229.3,492.12,39.55,142.6,103.93,422.43,229.27,108.16,79.08,27.68,391.57,29.72,36.83,34.7,207.78,53.65,50.88,270.0,334.15,220.82,18.98,105.2123,174.98,66.0,65.8,177.19,180.13,31.83,136.38,66.3681,35.84,18.08,170.49,41.24,21.65,48.1,380.23,136.81,18.23,65.12,62.92,44.97,,59.27,104.37,93.61,205.9198,206.93,242.31,,54.59,363.1,476.5,55.79,201.39,42.246,320.98,33.62,51.89,87.48,85.9,71.01,355.15,157.74,149.86,48.73,264.39,70.79,374.01,284.11,66.73,80.97,73.19,127.37,35.54,113.3,84.96,286.77,347.74,169.21,104.635,51.075,45.41,313.53,43.27,110.58,357.83,112.08,177.36,86.65,474.12,229.1,258.02,146.59,42.26,1491.57,54.2,12.46,61.65,237.75,84.49,51.51,309.41,27.78,121.21,526.45,393.85,32.09,250.9,61.93,91.68,137.0,14.749,4674.22,19.24,18.98,157.96,64.61,144.395,64.44,84.44,62.2,84.48,826.74,80.77,61.11,69.27,18.5,303.9,117.07,65.4733,15.88,62.51,178.97,50.13,85.01,152.23,131.24,296.89,47.41,130.8,116.96,,101.23,163.73,46.7,75.39,279.72,304.43,129.97,29.93,101.18,278.11,100.68,121.97,138.55,77.69,111.53,52.64,63.69,726.49,21.91,105.54,113.16,210.9,260.53,36.94,,117.97,128.25,100.84,142.31,292.63,104.46,83.35,244.18,158.19,51.7,8.225,232.32,320.93,72.51,,121.16,341.62,77.52,191.32,98.71,79.48,52.49,231.16,,78.6,93.48,33.1,252.49,76.68,19.14,51.36,633.56,408.48,84.39,117.62,87.42,44.85,257.5,152.72,79.86,561.92,139.96,685.7,39.65,71.03,50.8,111.36,187.23,44.298,113.64,64.51,174.31,106.77,169.17,71.06,320.68,39.72,25.91,39.25,145.77,483.52,504.5,209.24,177.11,366.01,46.03,212.61,31.95,119.62,,179.57,180.25,205.56,286.83,22.75,47.03,11.75,41.13,101.23,349.77,37.49,10.38,171.22,33.05,94.78,68.84,42.65,156.91,32.35,47.92,48.2267,241.14,246.49,31.23,90.9,70.67,106.82,110.59,128.68,128.46,262.99,148.96,10.9,,570.83,69.5,55.66,,68.96,52.91,187.21,837.44,36.61,16.506,91.06,126.4,44.31,111.59
